2002-02-26 05:00:18,678	mayra	aaa4cfW940AFTI	login	null	null	null	user-119ap03.biz.mindspring.com	66.149.100.3	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 16:32:08,291	mayra	aaacqF2Nbgxo4G	login	ace	null	null	resva-igate01.trw.com	192.35.84.5	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 17:16:51,749	mayra	aaac1qbXQs-7KZ	login	wily coyote	null	null	24-240-231-215.hsacorp.net	24.240.231.215	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 17:47:25,843	mayra	aaacqF2Nbgxo4G	login	null	null	null	resva-igate01.trw.com	192.35.84.5	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 17:53:19,716	mayra	aaabtdlbG2ixID	login	wily coyote	null	null	cs242769-110.houston.rr.com	24.27.69.110	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 18:46:17,013	mayra	aaacqF2Nbgxo4G	login	ace	null	null	resva-igate01.trw.com	192.35.84.5	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 21:37:22,709	mayra	aaa_-e0pIj_EW1	login	null	null	null	resva-igate01.trw.com	192.35.84.5	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 21:39:06,355	mayra	aaa_-e0pIj_EW1	logout	null	null	null	resva-igate01.trw.com	192.35.84.5	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 22:13:06,523	mayra	aaagQioISU_FDv	login	wily coyote	null	null	24-240-231-215.hsacorp.net	24.240.231.215	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 22:43:09,602	mayra	aaagQioISU_FDv	logout	wily coyote	null	null	24-240-231-215.hsacorp.net	24.240.231.215	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 22:52:13,428	mayra	aaabtdlbG2ixID	login	null	null	null	cs242769-110.houston.rr.com	24.27.69.110	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 23:19:08,573	mayra	aaa_-e0pIj_EW1	login	null	null	null	resva-igate01.trw.com	192.35.84.5	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
